|Epoch:0|Loss:497.490|Val_MSE	242.683|Best_Epoch:0|lr:0.001
|Epoch:1|Loss:217.500|Val_MSE	115.650|Best_Epoch:1|lr:0.001
|Epoch:2|Loss:109.957|Val_MSE	59.289|Best_Epoch:2|lr:0.001
|Epoch:3|Loss:70.238|Val_MSE	42.527|Best_Epoch:3|lr:0.001
|Epoch:4|Loss:53.774|Val_MSE	34.917|Best_Epoch:4|lr:0.001
|Epoch:5|Loss:44.827|Val_MSE	30.942|Best_Epoch:5|lr:0.001
|Epoch:6|Loss:39.942|Val_MSE	28.930|Best_Epoch:6|lr:0.001
|Epoch:7|Loss:36.494|Val_MSE	27.496|Best_Epoch:7|lr:0.001
|Epoch:8|Loss:34.407|Val_MSE	26.679|Best_Epoch:8|lr:0.001
|Epoch:9|Loss:32.961|Val_MSE	26.030|Best_Epoch:9|lr:0.001
|Epoch:10|Loss:31.821|Val_MSE	25.260|Best_Epoch:10|lr:0.001
|Epoch:11|Loss:31.306|Val_MSE	25.049|Best_Epoch:11|lr:0.001
|Epoch:12|Loss:30.441|Val_MSE	24.846|Best_Epoch:12|lr:0.001
|Epoch:13|Loss:29.669|Val_MSE	24.327|Best_Epoch:13|lr:0.001
|Epoch:14|Loss:29.218|Val_MSE	24.617|Best_Epoch:13|lr:0.001
|Epoch:15|Loss:28.776|Val_MSE	24.039|Best_Epoch:15|lr:0.001
|Epoch:16|Loss:28.263|Val_MSE	23.820|Best_Epoch:16|lr:0.001
|Epoch:17|Loss:28.014|Val_MSE	23.532|Best_Epoch:17|lr:0.001
|Epoch:18|Loss:27.507|Val_MSE	23.316|Best_Epoch:18|lr:0.001
|Epoch:19|Loss:27.068|Val_MSE	23.516|Best_Epoch:18|lr:0.001
|Epoch:20|Loss:26.924|Val_MSE	23.436|Best_Epoch:18|lr:0.001
|Epoch:21|Loss:26.549|Val_MSE	23.274|Best_Epoch:21|lr:0.001
|Epoch:22|Loss:26.292|Val_MSE	23.125|Best_Epoch:22|lr:0.001
|Epoch:23|Loss:26.044|Val_MSE	23.328|Best_Epoch:22|lr:0.001
|Epoch:24|Loss:25.814|Val_MSE	22.988|Best_Epoch:24|lr:0.001
|Epoch:25|Loss:25.658|Val_MSE	23.036|Best_Epoch:24|lr:0.001
|Epoch:26|Loss:25.314|Val_MSE	22.470|Best_Epoch:26|lr:0.001
|Epoch:27|Loss:25.296|Val_MSE	22.716|Best_Epoch:26|lr:0.001
|Epoch:28|Loss:24.874|Val_MSE	22.385|Best_Epoch:28|lr:0.001
|Epoch:29|Loss:24.541|Val_MSE	22.071|Best_Epoch:29|lr:0.001
|Epoch:30|Loss:24.317|Val_MSE	22.215|Best_Epoch:29|lr:0.001
|Epoch:31|Loss:23.944|Val_MSE	21.688|Best_Epoch:31|lr:0.001
|Epoch:32|Loss:23.508|Val_MSE	21.939|Best_Epoch:31|lr:0.001
|Epoch:33|Loss:23.320|Val_MSE	21.330|Best_Epoch:33|lr:0.001
|Epoch:34|Loss:22.954|Val_MSE	21.065|Best_Epoch:34|lr:0.001
|Epoch:35|Loss:22.874|Val_MSE	21.028|Best_Epoch:35|lr:0.001
|Epoch:36|Loss:22.502|Val_MSE	20.831|Best_Epoch:36|lr:0.001
|Epoch:37|Loss:22.154|Val_MSE	20.631|Best_Epoch:37|lr:0.001
|Epoch:38|Loss:22.003|Val_MSE	20.514|Best_Epoch:38|lr:0.001
|Epoch:39|Loss:21.669|Val_MSE	20.453|Best_Epoch:39|lr:0.001
|Epoch:40|Loss:21.540|Val_MSE	20.577|Best_Epoch:39|lr:0.001
|Epoch:41|Loss:21.237|Val_MSE	20.904|Best_Epoch:39|lr:0.001
|Epoch:42|Loss:21.324|Val_MSE	20.269|Best_Epoch:42|lr:0.001
